REF_DATE,GEO,DGUID,Age (15C),Gender (3),Statistics (2),Coordinate,Visible minority (15):Total - Visible minority[1],Symbol,Visible minority (15):Total visible minority population[2],Symbol,Visible minority (15):South Asian[3],Symbol,Visible minority (15):Chinese[4],Symbol,Visible minority (15):Black[5],Symbol,Visible minority (15):Filipino[6],Symbol,Visible minority (15):Arab[7],Symbol,Visible minority (15):Latin American[8],Symbol,Visible minority (15):Southeast Asian[9],Symbol,Visible minority (15):West Asian[10],Symbol,Visible minority (15):Korean[11],Symbol,Visible minority (15):Japanese[12],Symbol,"Visible minority (15):Visible minority, n.i.e.[13]",Symbol,Visible minority (15):Multiple visible minorities[14],Symbol,Visible minority (15):Not a visible minority[15],Symbol
2021,Canada,2021A000011124,20 to 24 years,Women+,% distribution (2021),1.6.3.2,2.9,,1.0,,0.3,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.9,
2021,Canada,2021A000011124,25 to 64 years,Total - Gender,2021 Counts,1.7.1.1,19568260,,5349620,,1421465,,970670,,784915,,559750,,364560,,374560,,225680,,221970,,132345,,52630,,98425,,142660,,14218645,
2021,Canada,2021A000011124,25 to 64 years,Total - Gender,% distribution (2021),1.7.1.2,53.9,,14.7,,3.9,,2.7,,2.2,,1.5,,1.0,,1.0,,0.6,,0.6,,0.4,,0.1,,0.3,,0.4,,39.1,
2021,Canada,2021A000011124,25 to 64 years,Men+,2021 Counts,1.7.2.1,9620335,,2555435,,725115,,442400,,377200,,235515,,190800,,180320,,101740,,110175,,58450,,19655,,47185,,66880,,7064905,
2021,Canada,2021A000011124,25 to 64 years,Men+,% distribution (2021),1.7.2.2,26.5,,7.0,,2.0,,1.2,,1.0,,0.6,,0.5,,0.5,,0.3,,0.3,,0.2,,0.1,,0.1,,0.2,,19.4,
2021,Canada,2021A000011124,25 to 64 years,Women+,2021 Counts,1.7.3.1,9947925,,2794185,,696350,,528270,,407715,,324235,,173765,,194235,,123940,,111800,,73890,,32975,,51235,,75780,,7153740,
2021,Canada,2021A000011124,25 to 64 years,Women+,% distribution (2021),1.7.3.2,27.4,,7.7,,1.9,,1.5,,1.1,,0.9,,0.5,,0.5,,0.3,,0.3,,0.2,,0.1,,0.1,,0.2,,19.7,
2021,Canada,2021A000011124,25 to 54 years,Total - Gender,2021 Counts,1.8.1.1,14405900,,4396325,,1212890,,735500,,661750,,456515,,310165,,315430,,176390,,183475,,107740,,42220,,77315,,116935,,10009570,
2021,Canada,2021A000011124,25 to 54 years,Total - Gender,% distribution (2021),1.8.1.2,39.7,,12.1,,3.3,,2.0,,1.8,,1.3,,0.9,,0.9,,0.5,,0.5,,0.3,,0.1,,0.2,,0.3,,27.6,
2021,Canada,2021A000011124,25 to 54 years,Men+,2021 Counts,1.8.2.1,7101745,,2098430,,618230,,333290,,317465,,194645,,160300,,152560,,77375,,89655,,47750,,15195,,37295,,54675,,5003315,
2021,Canada,2021A000011124,25 to 54 years,Men+,% distribution (2021),1.8.2.2,19.5,,5.8,,1.7,,0.9,,0.9,,0.5,,0.4,,0.4,,0.2,,0.2,,0.1,,0.0,,0.1,,0.2,,13.8,
2021,Canada,2021A000011124,25 to 54 years,Women+,2021 Counts,1.8.3.1,7304150,,2297900,,594660,,402215,,344285,,261870,,149870,,162870,,99010,,93815,,59995,,27025,,40025,,62260,,5006255,
2021,Canada,2021A000011124,25 to 54 years,Women+,% distribution (2021),1.8.3.2,20.1,,6.3,,1.6,,1.1,,0.9,,0.7,,0.4,,0.4,,0.3,,0.3,,0.2,,0.1,,0.1,,0.2,,13.8,
2021,Canada,2021A000011124,25 to 34 years,Total - Gender,2021 Counts,1.9.1.1,4898625,,1619030,,516885,,266085,,239415,,130650,,107170,,108965,,64570,,61050,,37950,,12240,,25965,,48085,,3279600,
2021,Canada,2021A000011124,25 to 34 years,Total - Gender,% distribution (2021),1.9.1.2,13.5,,4.5,,1.4,,0.7,,0.7,,0.4,,0.3,,0.3,,0.2,,0.2,,0.1,,0.0,,0.1,,0.1,,9.0,
2021,Canada,2021A000011124,25 to 34 years,Men+,2021 Counts,1.9.2.1,2453270,,795000,,269040,,127155,,112855,,60800,,54040,,53225,,29400,,29695,,18430,,4895,,12745,,22730,,1658260,
2021,Canada,2021A000011124,25 to 34 years,Men+,% distribution (2021),1.9.2.2,6.8,,2.2,,0.7,,0.4,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.1,,4.6,
2021,Canada,2021A000011124,25 to 34 years,Women+,2021 Counts,1.9.3.1,2445360,,824025,,247845,,138930,,126565,,69850,,53135,,55745,,35165,,31350,,19515,,7345,,13220,,25360,,1621335,
2021,Canada,2021A000011124,25 to 34 years,Women+,% distribution (2021),1.9.3.2,6.7,,2.3,,0.7,,0.4,,0.3,,0.2,,0.1,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.1,,4.5,
2021,Canada,2021A000011124,35 to 44 years,Total - Gender,2021 Counts,1.10.1.1,4872420,,1529180,,406425,,225500,,238740,,177415,,112775,,119830,,58810,,73145,,36215,,14725,,27770,,37825,,3343245,
2021,Canada,2021A000011124,35 to 44 years,Total - Gender,% distribution (2021),1.10.1.2,13.4,,4.2,,1.1,,0.6,,0.7,,0.5,,0.3,,0.3,,0.2,,0.2,,0.1,,0.0,,0.1,,0.1,,9.2,
2021,Canada,2021A000011124,35 to 44 years,Men+,2021 Counts,1.10.2.1,2384020,,716470,,202535,,100135,,114250,,73040,,56965,,57520,,25050,,35160,,15625,,5195,,13585,,17430,,1667550,
2021,Canada,2021A000011124,35 to 44 years,Men+,% distribution (2021),1.10.2.2,6.6,,2.0,,0.6,,0.3,,0.3,,0.2,,0.2,,0.2,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,4.6,
2021,Canada,2021A000011124,35 to 44 years,Women+,2021 Counts,1.10.3.1,2488405,,812705,,203885,,125370,,124490,,104375,,55810,,62305,,33765,,37990,,20595,,9535,,14185,,20400,,1675700,
2021,Canada,2021A000011124,35 to 44 years,Women+,% distribution (2021),1.10.3.2,6.8,,2.2,,0.6,,0.3,,0.3,,0.3,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.1,,4.6,
2021,Canada,2021A000011124,45 to 54 years,Total - Gender,2021 Counts,1.11.1.1,4634845,,1248120,,289580,,243910,,183595,,148450,,90220,,86635,,53010,,49275,,33580,,15255,,23590,,31025,,3386730,
2021,Canada,2021A000011124,45 to 54 years,Total - Gender,% distribution (2021),1.11.1.2,12.8,,3.4,,0.8,,0.7,,0.5,,0.4,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.1,,0.1,,9.3,
