REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Newfoundland and Labrador,2021A000210,25 to 44 years,Neither English nor French,2.9.5,205,,0.2,,28.1,,57.7,,160,,130,
2021,Newfoundland and Labrador,2021A000210,45 to 64 years,Total - Knowledge of official languages,2.10.1,156260,,100.0,,-5.8,,-6.2,,165920,,166635,
2021,Newfoundland and Labrador,2021A000210,45 to 64 years,English only,2.10.2,151970,,97.3,,-6.2,,-6.8,,161970,,163025,
2021,Newfoundland and Labrador,2021A000210,45 to 64 years,French only,2.10.3,45,,0.0,,125.0,,12.5,,20,,40,
2021,Newfoundland and Labrador,2021A000210,45 to 64 years,English and French,2.10.4,4100,,2.6,,7.6,,19.0,,3810,,3445,
2021,Newfoundland and Labrador,2021A000210,45 to 64 years,Neither English nor French,2.10.5,150,,0.1,,30.4,,20.0,,115,,125,
2021,Newfoundland and Labrador,2021A000210,65 years and over,Total - Knowledge of official languages,2.11.1,116725,,100.0,,19.2,,48.9,,97890,,78400,
2021,Newfoundland and Labrador,2021A000210,65 years and over,English only,2.11.2,114890,,98.4,,19.1,,48.8,,96440,,77195,
2021,Newfoundland and Labrador,2021A000210,65 years and over,French only,2.11.3,15,,0.0,,50.0,,-25.0,,10,,20,
2021,Newfoundland and Labrador,2021A000210,65 years and over,English and French,2.11.4,1710,,1.5,,28.6,,60.6,,1330,,1065,
2021,Newfoundland and Labrador,2021A000210,65 years and over,Neither English nor French,2.11.5,115,,0.1,,4.5,,-4.2,,110,,120,
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,Total - Knowledge of official languages,2.12.1,74085,,100.0,,17.4,,53.5,,63125,,48270,
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,English only,2.12.2,72830,,98.3,,17.3,,53.4,,62110,,47475,
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,French only,2.12.3,10,,0.0,,100.0,,-33.3,,5,,15,
