"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Broad age groups and sex: Canada, provinces and territories","98100034",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810003401",,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","3","Total population, including institutional residents, 2021 Census — 100% data","Broad age groups (5), Sex (3)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,6,16,"DGUID","Dissemination Geography Unique Identifier (DGUID)","Dissemination Geography Unique Identifier (DGUID)","2021A000224"
1,7,17,"TNR_SHORT_FORM","Short-form total non-response rate","Short-form total non-response rate","2.8"
1,7,3,"ALT_GEO_CODE","Alternative geographic code","Alternative geographic code","35"
1,7,4,"GEO_LEVEL_DESC","Geographic level","Geographic level","Province or territory"
1,7,5,"GEO_TYPE_ABBR","Geographic area type abbreviation","Geographic area type abbreviation","PR"
1,7,9,"PROV_ABBR","Province or territory abbreviation","Province or territory abbreviation","Ont."
1,7,10,"PR_CODE","Province or territory geocode","Province or territory geocode","35"
1,7,14,"DQF_NOTE","Data quality note","Data quality note","Excludes census data for one or more incompletely enumerated reserves or settlements."
1,7,15,"GEO_TYPE_DESC","Geographic area type","Geographic area type","Province"
1,7,12,"GEO_NAME","Geography name","Geography name","Ontario"
1,7,13,"DQF_CODE","Data quality flag","Data quality flag","20000"
1,7,16,"DGUID","Dissemination Geography Unique Identifier (DGUID)","Dissemination Geography Unique Identifier (DGUID)","2021A000235"
1,8,17,"TNR_SHORT_FORM","Short-form total non-response rate","Short-form total non-response rate","3.5"
1,8,3,"ALT_GEO_CODE","Alternative geographic code","Alternative geographic code","46"
1,8,4,"GEO_LEVEL_DESC","Geographic level","Geographic level","Province or territory"
1,8,5,"GEO_TYPE_ABBR","Geographic area type abbreviation","Geographic area type abbreviation","PR"
1,8,9,"PROV_ABBR","Province or territory abbreviation","Province or territory abbreviation","Man."
1,8,10,"PR_CODE","Province or territory geocode","Province or territory geocode","46"
1,8,14,"DQF_NOTE","Data quality note","Data quality note","Excludes census data for one or more incompletely enumerated reserves or settlements."
1,8,15,"GEO_TYPE_DESC","Geographic area type","Geographic area type","Province"
1,8,12,"GEO_NAME","Geography name","Geography name","Manitoba"
1,8,13,"DQF_CODE","Data quality flag","Data quality flag","20000"
1,8,16,"DGUID","Dissemination Geography Unique Identifier (DGUID)","Dissemination Geography Unique Identifier (DGUID)","2021A000246"
1,9,17,"TNR_SHORT_FORM","Short-form total non-response rate","Short-form total non-response rate","4.5"
1,9,3,"ALT_GEO_CODE","Alternative geographic code","Alternative geographic code","47"
1,9,4,"GEO_LEVEL_DESC","Geographic level","Geographic level","Province or territory"
1,9,5,"GEO_TYPE_ABBR","Geographic area type abbreviation","Geographic area type abbreviation","PR"
